video_id,step_id,text,action,start_time,end_time
handwash_098,2,place hands under water,wet hands,3,6
handwash_098,3,apply soap,apply soap,6,8
handwash_098,4,rub hands,rub hands,8,12
handwash_098,5,rinse hands with water,rinse hands,12,16
handwash_098,6,switch off the tap,turn off tap,16,19
handwash_099,1,reach and turn on the tap,turn on tap,0,3
handwash_099,2,place hands under water,wet hands,3,5
handwash_099,3,put soap on hands,apply soap,5,8
handwash_099,4,scrub hands,rub hands,8,11
handwash_099,5,clean hands with water,rinse hands,11,13
handwash_099,6,stop the faucet,turn off tap,13,14
handwash_100,1,open the tap,turn on tap,0,4
handwash_100,2,wet hands,wet hands,4,6
handwash_100,3,apply soap,apply soap,6,9
handwash_100,4,clean hands by rubbing,rub hands,9,12
handwash_100,5,rinse hands,rinse hands,12,14
handwash_100,6,stop the faucet,turn off tap,14,15
